"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"American poetry--20th century--History and criticism--Theory, etc","general term","009812301","Monograph","Language material ; Text","Volume","","","9780791449578 ; 9780791449585","Melaney, William D.","1953-","person","","Melaney, William D., 1953- [person]","After ontology : literary theory and modernist poetics","","","","United States of America","Albany","State University of New York","2001","","","820.9112","m01/30811","","English","",""
"American poetry--20th century--History and criticism--Theory, etc","general term","011159343","Monograph","Language material ; Text","Volume","","","9780791449578 ; 9780791449585","Melaney, William D.","1953-","person","","Melaney, William D., 1953- [person]","After ontology : literary theory and modernist poetics","","","","United States of America","Albany","State University of New York","2001","","x, 260 pages, 23 cm","820.9112","YC.2001.a.18107","","English","",""
"Anarchism","general term","016135161","Monograph","Language material ; Text","Volume","GBB274415","","9780230290952","Balinisteanu, Tudor","","person","","Balinisteanu, Tudor [person]","Violence, narrative and myth in Joyce and Yeats : subjective identity and anarcho-syndicalist traditions","","","","England","Basingstoke","Palgrave Macmillan","2012","","ix, 242 pages, 23 cm","823.912","YC.2013.a.1327 ; m12/.17717","","English","",""
"Ancients and moderns, Quarrel of","general term","017083382","Monograph","Language material ; Text","Volume","","","9786062801274","Stanca, Nicoleta","","person","author","Stanca, Nicoleta, author [person]","The harp and the pen : tradition and novelty in modern Irish writing","","Filologie","","Romania","Bucureşti","Universitară","2014","2nd revised and updated edition","216 pages, 24 cm","","YD.2015.a.593","","English","",""
"Andersch, Alfred, 1914-1980","person","016431537","Monograph","Language material ; Text","Volume","","","9783828828636","Stehle, Julia","","person","","Stehle, Julia [person]","Moderne Literatur und die Philosophie des Mittelalters : Joyce, Beckett, Andersch : mit einer Einführung in die Mittelalterrezeption","","","","Germany","Marburg","Tectum","2012","","x, 248 pages, 21 cm","","YF.2015.a.19739","Criticsm and interpretation","German","Additional physical form: 9783828855090",""
"Andersch, Alfred, 1914-1980--Criticism and interpretation","person","016431537","Monograph","Language material ; Text","Volume","","","9783828828636","Stehle, Julia","","person","","Stehle, Julia [person]","Moderne Literatur und die Philosophie des Mittelalters : Joyce, Beckett, Andersch : mit einer Einführung in die Mittelalterrezeption","","","","Germany","Marburg","Tectum","2012","","x, 248 pages, 21 cm","","YF.2015.a.19739","Criticsm and interpretation","German","Additional physical form: 9783828855090",""
"Anderson, Margaret C","person","018858500","Monograph","Language material ; Text","Online resource","GBB891919","","9781843517023","Hassett, Joseph M.","","person","author","Hassett, Joseph M., author [person]","The Ulysses trials : beauty and truth meet the law","","","","","","Lilliput Press","2016","","1 online resource (240 pages)","823.912","ELD.DS.281418","History","English","",""
"Androgyny (Psychology) in literature","general term","012667591","Monograph","Language material ; Text","Volume","GBA352225","","9780813919799 ; 9780813919805","Rado, Lisa","","person","author","Rado, Lisa, author [person]","The modern androgyne imagination : a failed sublime","","","","England","Charlottesville, Virginia ; London","University Press ; Virginia","2000","","x, 220 pages, 24 cm","823.9109353","YC.2003.a.11595 ; m01/10049","","English","",""
"Anna Livia Plurabelle (Joyce, James)","title","019403557","Monograph","Language material ; Text","Volume","","","9781487502782","O'Neill, Patrick","1945-","person","author","O'Neill, Patrick, 1945-, author [person]","Trilingual Joyce : the Anna Livia variations","","","","Canada ; England ; United States of America","Buffalo ; London ; Toronto","University of Toronto Press","2018","","226 pages, 24 cm","823.912","","Criticsm and interpretation","English","",""
"Antisemitism--History--20th century","general term","009410775","Monograph","Language material ; Text","Volume","GB96Z9908","","9780521551816","Davison, Neil R.","","person","","Davison, Neil R. [person]","James Joyce, Ulysses and the construction of Jewish identity : culture, biography and 'the Jew' in modernist Europe","","","","England","Cambridge","Cambridge University Press","1996","","xi, 305 pages, 23 cm","823.912","97/04169 ; YC.1996.b.2834","Biography","English","",""
"Antisemitism--History--20th century","general term","009413153","Monograph","Language material ; Text","Volume","GB98W9628","","9780521636209","Davison, Neil R.","","person","","Davison, Neil R. [person]","James Joyce, Ulysses, and the construction of Jewish identity : culture, biography, and 'the Jew' in modernist Europe","","","","England","Cambridge","Cambridge University Press","1998","","xviii, 305 pages, 23 cm","823.912","YC.2001.a.4820","Biography","English","Originally published: 1996",""
"Aquin, Hubert, 1929-1977--Romans, nouvelles, etc","person","013949861","Monograph","Language material ; Text","Volume","","","9782762128154","Massoutre, Guylaine","","person","","Massoutre, Guylaine [person]","Renaissances : vivre avec Joyce, Aquin, Yourcenar","","","","Canada","Montréal","Fides","2007","","439 pages, 22 cm","843.6","YF.2007.a.34245","Romance","French","",""
"Archetype (Psychology) in literature","general term","009802246","Monograph","Language material ; Text","Volume","","","9780809321100","Kimball, Jean","1923-","person","","Kimball, Jean, 1923- [person]","Odyssey of the psyche : Jungian patterns in Joyce's Ulysses","","","","United States of America","Carbondale","Southern Illinois University Press","1997","","xiv, 202 pages, 25 cm","","97/22924","","English","bibliography: p181-192. - Includes index",""
"Archetypes in literature","general term","018041409","Monograph","Language material ; Text","Volume","","","","Murillo, L. A. (Louis Andrew)","1922-","person","author","Murillo, L. A. (Louis Andrew), 1922-, author [person]","The archetypal artist : Cervantes and James Joyce","Cervantes and James Joyce","","","United States of America","","","1987-2016","","8 pages, 22 cm","","YD.2017.a.91","","English","",""
"Aristotle--Quotations","person","013493798","Monograph","Language material ; Text","Volume","GBA655354","","9780907328612","O'Rourke, Fran","","person","","National Library of Ireland [organisation] ; O'Rourke, Fran [person]","Joyce's quotations from Aristotle : 'Allwisest Stagyrite'","'Allwisest Stagyrite'","Joyce studies 2004","number 21 [Joyce studies 2004]","Ireland","Dublin","National Library of Ireland","2005","","59 pages, 21 cm","","","Quotation or maxim","English","",""
"Art and literature","general term","007492375","Monograph","Language material ; Text","Volume","","","9783825303761","Fabo, Sabine","","person","","Fabo, Sabine [person]","Joyce und Beuys : ein intermedialer Dialog","","Reihe Siegen","Band 134 [Reihe Siegen]","Germany","Heidelberg","Winter","1997","","236 pages, illustrations, 25 cm","","YA.2000.a.19068","","German","Originally presented as the author's thesis (doctoral-- Universität-Gesamthochschule-Siegen, 1994)",""
"Art and literature","general term","019022093","Monograph","Language material ; Text","Volume","","","9781487502508","Conley, Tim","1972-","person","author","Conley, Tim, 1972-, author [person]","Useless Joyce : textual functions, cultural appropriations","","","","Canada","Toronto","University of Toronto Press","2017","","viii, 189 pages, illustrations, 24 cm","823.912","YD.2018.a.3901","Criticsm and interpretation","English","",""
"Art and literature--Ireland--History--20th century","general term","005685971","Monographic component part","Language material ; Text","Volume","","","9780835715768","Loss, Archie K.","","person","","Loss, Archie K. [person]","Joyce's visible art : the work of Joyce and the visual arts, 1904-1922","","","","United States of America","Ann Arbor, Michigan","UMI Research","1984","","","823.912","8491.124400","","English","",""
"Art and literature--Ireland--History--20th century","general term","008103580","Monograph","Language material ; Text","Volume","GB8525070","","9780835715768","Loss, Archie K. (Archie Krug)","","person","","Loss, Archie K. (Archie Krug) [person]","Joyce's visible art : the work of Joyce and the visual arts, 1904-1922","","Studies in modern literature","number 38 [Studies in modern literature]","England","Epping","Bowker","1984","","x, 128 pages, illustrations, portraits, 24 cm","823.912","X.421/26815","","English","bibliography: p121-124. _ Includes index",""
"Art and literature--Ireland--History--20th century","general term","012722753","Monograph","Language material ; Text","Volume","","","9783631442586","Pesch, Josef W.","1958-","person","author","Pesch, Josef W., 1958-, author [person]","Wilde, about Joyce : zur Umsetzung ästhetizistischer Kunsttheorie in der literarischen Praxis der Moderne","","Münsteraner Monographien zur englischen Literatur","Band 8 [Münsteraner Monographien zur englischen Literatur]","Germany ; United States of America","Frankfurt am Main ; New York","Lang","1992","","300 pages, illustrations, 22 cm","","5985.558500 ; YA.1993.a.4871","","German","Originally presented as the author's thesis (doctoral--Münster, 1991)",""
"Art and religion","general term","018909335","Monograph","Language material ; Text","Online resource","GBB8F3249","","9781137434777","Balinisteanu, Tudor","","person","author","Balinisteanu, Tudor, author [person]","Religion and aesthetic experience in Joyce and Yeats","","","","United States of America","New York","Palgrave Macmillan","2015","","1 online resource","821.8","ELD.DS.299636","","English","",""
